dt,j1,j2,j3,j4,j5,j6,gripper_m
12.3366,0.009495,1.72182,-0.782658,-0.278467,0.713717,0.331944,0.0
12.3868,0.009495,1.72182,-0.782658,-0.278467,0.713717,0.331944,0.0
12.437,0.009495,1.72182,-0.782658,-0.278467,0.713717,0.331944,0.0
12.4874,0.009495,1.72182,-0.782658,-0.278467,0.714503,0.331944,0.0
12.5379,0.009495,1.72182,-0.782658,-0.278467,0.716109,0.331944,0.0
12.5883,0.009495,1.72182,-0.782658,-0.278467,0.716109,0.331944,0.0
12.6385,0.009495,1.72182,-0.782658,-0.278467,0.716109,0.331944,0.0
12.6889,0.009495,1.72182,-0.782658,-0.281033,0.716807,0.331944,0.0
12.7392,0.009495,1.72182,-0.782658,-0.281033,0.718465,0.331944,0.0
12.7896,0.009495,1.720039,-0.782658,-0.281033,0.720908,0.331944,0.0
12.8399,0.009495,1.720039,-0.782658,-0.281033,0.720908,0.331944,0.0
12.8903,0.009495,1.720039,-0.782658,-0.281033,0.720908,0.331944,0.0
12.9407,0.009495,1.720039,-0.782658,-0.281033,0.720908,0.331944,0.0
12.991,0.009495,1.720039,-0.782658,-0.281033,0.720908,0.331944,0.0
13.0412,0.009495,1.720039,-0.782658,-0.281033,0.720908,0.331944,0.0
13.0915,0.009495,1.720039,-0.782658,-0.282988,0.720908,0.331944,0.0
13.1418,0.009495,1.720039,-0.782658,-0.282639,0.720908,0.331944,0.0
13.1921,0.009495,1.720039,-0.782658,-0.282639,0.720908,0.331944,0.0
13.2425,0.009495,1.720039,-0.782658,-0.282639,0.720908,0.331944,0.0
13.2928,0.009495,1.720039,-0.782658,-0.282639,0.720908,0.331944,0.0
13.343,0.009495,1.720039,-0.782658,-0.282639,0.720908,0.331944,0.0
13.3933,0.009495,1.720039,-0.782658,-0.282639,0.720908,0.331944,0.0
13.4437,0.009495,1.714664,-0.782658,-0.282639,0.723456,0.331944,0.0
13.4941,0.009495,1.708974,-0.782658,-0.282639,0.726842,0.331944,0.0
13.5445,0.009495,1.700422,-0.782658,-0.282639,0.729024,0.331944,0.0
13.5948,0.011275,1.694069,-0.782658,-0.274767,0.776846,0.331944,0.0
13.6455,0.011275,1.694662,-0.782658,-0.288189,0.932512,0.331944,0.0
13.6956,0.011275,1.693598,-0.782658,-0.3036,1.124062,0.331944,0.0
13.746,0.011275,1.690945,-0.782658,-0.315433,1.228083,0.335156,0.0
13.7964,0.009303,1.68159,-0.784525,-0.343167,1.244943,0.337774,0.0
13.847,0.009303,1.672427,-0.784525,-0.344877,1.237753,0.337774,0.0
13.8973,0.009303,1.668221,-0.784525,-0.344877,1.235798,0.337774,0.0
13.9475,0.009303,1.668221,-0.784525,-0.347006,1.235815,0.337774,0.0
13.9979,0.009303,1.668221,-0.784525,-0.347006,1.233686,0.337774,0.0
14.0483,0.009303,1.668221,-0.784525,-0.34945,1.233616,0.337774,0.0
14.0986,0.009303,1.668221,-0.784525,-0.354284,1.233616,0.337774,0.0
14.149,0.009303,1.668221,-0.784525,-0.354354,1.233616,0.337774,0.0
14.1993,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.2497,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.3001,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.3506,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.4009,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.4511,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.5015,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.5517,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.6023,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.6528,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.7033,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.7537,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.8043,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.8547,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.905,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
14.9554,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
15.0056,0.009303,1.668221,-0.784525,-0.356501,1.233616,0.337774,0.0
15.056,0.009303,1.668221,-0.784525,-0.356501,1.232115,0.337774,0.0
15.1064,0.009303,1.668221,-0.784525,-0.356501,1.232115,0.337774,0.0
15.1567,0.009303,1.668221,-0.784525,-0.356501,1.232115,0.337774,0.0
15.2071,0.009303,1.668221,-0.784525,-0.356501,1.232115,0.334911,0.0
15.2573,0.009303,1.668221,-0.784525,-0.356501,1.232115,0.330338,0.0
15.3077,0.009303,1.668221,-0.784525,-0.356501,1.232115,0.328523,0.0
15.3581,0.009303,1.668221,-0.784525,-0.360376,1.232115,0.304385,0.0
15.4083,0.009303,1.668221,-0.784525,-0.36891,1.232115,0.256825,0.0
15.4588,0.009303,1.668221,-0.784525,-0.380499,1.232115,0.197379,0.0
15.5092,0.009303,1.668221,-0.784525,-0.3868,1.231469,0.163293,0.0
15.5596,0.009303,1.668221,-0.784525,-0.3868,1.222481,0.15495,0.0
15.6103,0.009303,1.668221,-0.784525,-0.3868,1.212864,0.15495,0.0
15.6606,0.009303,1.668221,-0.784525,-0.3868,1.207977,0.15495,0.0
15.7109,0.009303,1.668221,-0.784525,-0.382908,1.204015,0.15495,0.0
15.7611,0.009303,1.668221,-0.784525,-0.380098,1.198238,0.153205,0.0
