timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-24T09:25:35.243,robot/gripper,g 0.89,,,,,,,,,0.89,gripper_cmd
2026-05-24T09:25:35.245,robot/gripper,g 0.89,,,,,,,,,0.89,gripper_cmd
2026-05-24T09:25:35.246,robot/gripper,g 0.89,,,,,,,,,0.89,gripper_cmd
2026-05-24T09:25:35.249,robot/gripper,g 0.89,,,,,,,,,0.89,gripper_cmd
2026-05-24T09:25:35.251,robot/gripper,g 0.87,,,,,,,,,0.87,gripper_cmd
2026-05-24T09:25:35.253,robot/gripper,g 0.68,,,,,,,,,0.68,gripper_cmd
2026-05-24T09:25:35.255,robot/gripper,g 0.26,,,,,,,,,0.26,gripper_cmd
2026-05-24T09:25:35.256,robot/gripper,g 0.05,,,,,,,,,0.05,gripper_cmd
2026-05-24T09:25:35.258,robot/gripper,g 0.11,,,,,,,,,0.11,gripper_cmd
2026-05-24T09:25:35.259,robot/gripper,g 0.11,,,,,,,,,0.11,gripper_cmd
2026-05-24T09:25:35.260,robot/gripper,g 0.11,,,,,,,,,0.11,gripper_cmd
2026-05-24T09:25:35.262,robot/gripper,g 0.11,,,,,,,,,0.11,gripper_cmd
2026-05-24T09:25:35.463,system,,,,,,,,,,,shutdown
2026-05-24T09:32:57.348,system,,,,,,,,,,,arm_initialized
2026-05-24T09:33:07.461,robot/gripper,g 0.05,,,,,,,,,0.05,gripper_cmd
2026-05-24T09:33:07.749,robot/gripper,g 0.05,,,,,,,,,0.05,gripper_cmd
2026-05-24T09:33:07.751,robot/gripper,g 0.74,,,,,,,,,0.74,gripper_cmd
2026-05-24T09:33:07.953,robot/gripper,g 0.84,,,,,,,,,0.84,gripper_cmd
2026-05-24T09:33:08.567,robot/gripper,g 0.84,,,,,,,,,0.84,gripper_cmd
2026-05-24T09:33:08.569,robot/gripper,g 0.84,,,,,,,,,0.84,gripper_cmd
2026-05-24T09:33:08.893,robot/gripper,g 0.84,,,,,,,,,0.84,gripper_cmd
2026-05-24T09:33:08.895,robot/gripper,g 0.84,,,,,,,,,0.84,gripper_cmd
2026-05-24T09:33:08.956,robot/gripper,g 0.78,,,,,,,,,0.78,gripper_cmd
